Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
Redeemer II,bad,,,,,,,
Redeemer III,bad,,,,,,,
Renata Soliz,good,,,,,,,
Rhino,bad,25.0,80.0,43.0,90.0,37.0,85.0,360.0
Rick Flag,bad,88.0,11.0,23.0,28.0,19.0,95.0,264.0
Riddler,bad,100.0,10.0,12.0,14.0,10.0,14.0,160.0
Ripcord,good,,,,,,,
Robin I,good,88.0,11.0,27.0,28.0,32.0,85.0,271.0
Robin II,good,,,,,,,
Robin III,good,81.0,11.0,27.0,28.0,30.0,85.0,262.0
Robin V,good,69.0,8.0,33.0,16.0,29.0,65.0,220.0
Rocket Raccoon,good,50.0,5.0,23.0,28.0,28.0,64.0,198.0
Rogue,good,75.0,10.0,12.0,28.0,80.0,80.0,285.0
Ronin,good,38.0,10.0,27.0,32.0,21.0,90.0,218.0
Rorschach,good,75.0,10.0,29.0,20.0,23.0,80.0,237.0
Sabretooth,bad,55.0,53.0,25.0,90.0,28.0,100.0,351.0
Sage,good,75.0,10.0,12.0,14.0,28.0,56.0,195.0
Sandman,neutral,50.0,75.0,47.0,97.0,62.0,56.0,387.0
Sasquatch,good,75.0,80.0,23.0,56.0,15.0,42.0,291.0
Savage Dragon,good,63.0,70.0,54.0,85.0,49.0,72.0,393.0
Scarecrow,bad,81.0,10.0,12.0,14.0,48.0,50.0,215.0
Scarlet Spider,good,75.0,53.0,60.0,74.0,39.0,56.0,357.0
Scarlet Spider II,good,88.0,55.0,60.0,40.0,30.0,56.0,329.0
Scarlet Witch,bad,88.0,10.0,23.0,42.0,67.0,28.0,258.0
Scorpia,bad,38.0,28.0,42.0,28.0,34.0,28.0,198.0
Scorpion,bad,50.0,52.0,60.0,85.0,49.0,80.0,376.0
Sentry,good,75.0,80.0,58.0,84.0,97.0,54.0,448.0
Shadow King,good,75.0,12.0,27.0,100.0,100.0,75.0,389.0
Shadowcat,good,88.0,8.0,21.0,25.0,69.0,70.0,281.0
Shang-Chi,good,63.0,12.0,30.0,50.0,25.0,100.0,280.0
Shatterstar,good,63.0,48.0,45.0,64.0,42.0,84.0,346.0
She-Hulk,good,69.0,100.0,42.0,100.0,33.0,70.0,414.0
She-Thing,good,,,,,,,
Shocker,bad,63.0,10.0,23.0,70.0,63.0,56.0,285.0
Shriek,good,50.0,10.0,23.0,28.0,45.0,42.0,198.0
Shrinking Violet,good,,,,,,,
Sif,good,50.0,57.0,25.0,52.0,19.0,70.0,273.0
Silk Spectre I,good,,,,,,,
Silk Spectre II,good,,,,,,,
Silver Surfer,good,63.0,100.0,84.0,101.0,100.0,32.0,480.0
Silverclaw,good,50.0,28.0,35.0,42.0,34.0,42.0,231.0
Sinestro,bad,75.0,80.0,53.0,64.0,100.0,56.0,428.0
Siren,bad,38.0,10.0,12.0,14.0,55.0,28.0,157.0
Siren II,bad,,,,,,,
Siryn,bad,38.0,8.0,47.0,28.0,50.0,42.0,213.0
Skaar,good,50.0,85.0,27.0,90.0,62.0,85.0,399.0
Snowbird,good,50.0,32.0,27.0,42.0,63.0,52.0,266.0
Sobek,good,50.0,34.0,23.0,46.0,20.0,56.0,229.0
Solomon Grundy,bad,9.0,93.0,13.0,100.0,78.0,30.0,323.0
Songbird,good,75.0,36.0,27.0,42.0,55.0,56.0,291.0
Space Ghost,good,38.0,18.0,33.0,40.0,90.0,80.0,299.0
Spawn,good,75.0,60.0,50.0,90.0,100.0,95.0,470.0
Spectre,good,,,,,,,
Speedball,good,,,,,,,
Speedy,good,,,,,,,
Spider-Carnage,bad,,,,,,,
Spider-Girl,good,63.0,38.0,60.0,65.0,46.0,75.0,347.0
Spider-Man,good,88.0,55.0,60.0,74.0,58.0,85.0,420.0
Spider-Woman,good,50.0,42.0,42.0,32.0,62.0,52.0,280.0
Spider-Woman II,good,,,,,,,
Spider-Woman III,good,50.0,48.0,27.0,42.0,60.0,28.0,255.0
Spider-Woman IV,bad,,,,,,,
Spiderman,good,,,,,,,
Spyke,good,50.0,12.0,17.0,60.0,41.0,30.0,210.0
Stacy X,good,,,,,,,
Stardust,good,88.0,85.0,100.0,110.0,100.0,85.0,568.0
Starfire,good,50.0,80.0,33.0,85.0,59.0,70.0,377.0
Stargirl,good,50.0,40.0,27.0,90.0,71.0,56.0,334.0
Steel,good,81.0,82.0,53.0,90.0,64.0,64.0,434.0
Stephanie Powell,good,69.0,10.0,54.0,10.0,17.0,10.0,170.0
Storm,good,75.0,10.0,47.0,30.0,88.0,75.0,325.0
Sub-Mariner,good,63.0,80.0,47.0,56.0,37.0,84.0,367.0
Sunspot,good,63.0,63.0,35.0,25.0,79.0,70.0,335.0
Super Moos,good,8.0,,,10.0,65.0,40.0,
Superboy,good,75.0,95.0,83.0,90.0,84.0,60.0,487.0
Superboy-Prime,bad,94.0,100.0,100.0,100.0,100.0,85.0,579.0
Supergirl,good,94.0,98.0,92.0,100.0,85.0,75.0,544.0
Superman,good,100.0,100.0,100.0,100.0,94.0,85.0,579.0
Swamp Thing,bad,88.0,80.0,23.0,100.0,66.0,56.0,413.0
Sylar,bad,75.0,10.0,12.0,28.0,91.0,56.0,272.0
Synch,good,75.0,67.0,23.0,28.0,74.0,56.0,323.0
Tempest,good,38.0,10.0,45.0,28.0,62.0,60.0,243.0
Thanos,bad,88.0,100.0,17.0,100.0,100.0,80.0,485.0
The Cape,good,38.0,10.0,23.0,32.0,22.0,64.0,189.0
The Comedian,neutral,63.0,14.0,17.0,10.0,12.0,80.0,196.0
Thing,good,75.0,84.0,21.0,90.0,26.0,80.0,376.0
Thor,good,69.0,100.0,92.0,100.0,100.0,85.0,546.0
Thor Girl,good,75.0,83.0,70.0,84.0,100.0,70.0,482.0
Thunderbird,good,50.0,32.0,27.0,32.0,14.0,70.0,225.0
Thunderbird II,good,,,,,,,
Thunderbird III,good,,,,,,,
Thunderstrike,good,63.0,80.0,70.0,84.0,31.0,72.0,400.0
Thundra,good,38.0,81.0,32.0,64.0,26.0,54.0,295.0
Tiger Shark,bad,38.0,72.0,42.0,70.0,21.0,28.0,271.0
Tigra,good,63.0,32.0,53.0,38.0,33.0,90.0,309.0
Tinkerer,bad,100.0,10.0,23.0,14.0,10.0,14.0,171.0
Titan,good,,,,,,,
Toad,neutral,50.0,34.0,58.0,56.0,49.0,28.0,275.0
Toxin,good,56.0,73.0,70.0,84.0,75.0,70.0,428.0
Tracy Strauss,good,,,,,,,
Trickster,,,,,,,,
Triplicate Girl,good,63.0,10.0,23.0,42.0,44.0,42.0,224.0
Two-Face,bad,88.0,10.0,12.0,14.0,9.0,28.0,161.0
Ultragirl,good,50.0,80.0,35.0,70.0,35.0,80.0,350.0
Ultron,bad,88.0,83.0,42.0,100.0,100.0,64.0,477.0
Utgard-Loki,bad,50.0,80.0,23.0,84.0,72.0,64.0,373.0
Vagabond,good,,,,,,,
Valerie Hart,good,,,,,,,
Valkyrie,good,,,,,,,
Vanisher,bad,63.0,10.0,75.0,56.0,39.0,42.0,285.0
Venom,bad,75.0,57.0,65.0,84.0,79.0,84.0,444.0
Venom II,bad,50.0,57.0,47.0,70.0,54.0,56.0,334.0
Venom III,bad,63.0,73.0,35.0,90.0,66.0,56.0,383.0
Vertigo II,good,,,,,,,
Vindicator,good,,,,,,,
Vindicator II,good,63.0,63.0,53.0,64.0,56.0,70.0,369.0
Violator,bad,,,,,,,
Violet,good,10.0,4.0,12.0,28.0,65.0,14.0,133.0
Vision,good,100.0,72.0,54.0,95.0,76.0,70.0,467.0
Vision II,good,,,,,,,
Vulcan,good,,,,,,,
Vulture,bad,63.0,22.0,47.0,56.0,40.0,56.0,284.0
Walrus,bad,50.0,28.0,8.0,50.0,11.0,20.0,167.0
War Machine,good,63.0,80.0,63.0,100.0,100.0,85.0,491.0
Warbird,good,,,,,,,
Warlock,good,88.0,36.0,79.0,95.0,71.0,95.0,464.0
Warp,bad,38.0,10.0,23.0,28.0,63.0,50.0,212.0
Warpath,good,38.0,72.0,47.0,70.0,26.0,84.0,337.0
Wasp,good,63.0,8.0,58.0,52.0,23.0,42.0,246.0
Watcher,good,100.0,80.0,67.0,89.0,100.0,56.0,492.0
Weapon XI,bad,,,,,,,
White Queen,good,,,,,,,
Wildfire,good,50.0,32.0,23.0,100.0,77.0,42.0,324.0
Willis Stryker,bad,38.0,16.0,23.0,28.0,41.0,60.0,206.0
Winter Soldier,good,56.0,32.0,35.0,65.0,60.0,84.0,332.0
Wiz Kid,good,,,,,,,
Wolfsbane,good,38.0,16.0,35.0,42.0,26.0,42.0,199.0
Wolverine,good,55.0,32.0,38.0,100.0,44.0,100.0,369.0
Wonder Girl,good,75.0,90.0,25.0,80.0,39.0,60.0,369.0
Wonder Man,good,75.0,100.0,53.0,90.0,64.0,64.0,446.0
Wonder Woman,good,88.0,100.0,50.0,100.0,42.0,100.0,480.0
Wondra,good,,,,,,,
Wyatt Wingfoot,good,10.0,10.0,12.0,,,56.0,
X-23,good,75.0,24.0,35.0,90.0,27.0,85.0,336.0
X-Man,good,88.0,53.0,53.0,95.0,92.0,84.0,465.0
Yellow Claw,bad,,,,,,,
Yellowjacket,good,88.0,10.0,12.0,28.0,12.0,14.0,164.0
Yellowjacket II,good,50.0,10.0,35.0,28.0,31.0,28.0,182.0
Ymir,good,50.0,100.0,27.0,100.0,83.0,28.0,388.0
Zatanna,good,75.0,10.0,23.0,28.0,100.0,56.0,292.0
Zoom,bad,50.0,10.0,100.0,28.0,72.0,28.0,288.0
